Артикул,Описание
CD121-RU,"Аккумуляторная дрель-шуруповерт, 12 В, 16 установок кр. момента, 0-550 об/мин, 8 Нм, 1 акк., 1.3 А·ч, 5 ч. ЗУ. БЗП 10мм"
CD121K-RU,"Аккумуляторная дрель-шуруповерт, 12 В, 16 установок кр. момента, 0-550 об/мин, 8 Нм, 1 акк., 1.3 А·ч, 5 ч. ЗУ. БЗП 10мм, кейс"
BDCD8-XK,"Ультра-компактная аккумуляторная дрель-шуруповерт, 7.2В, 0-400 об/мин, 8/12Нм, 1.5 А·ч."
LD12SP-RU,"Компактная аккумуляторная дрель-шуруповерт, 12В,  0-900 об/мин, 16 Нм, 1 акк., 1.5 А·ч, ЗУ, БЗП 10мм, кейс, оснастка"
BDCDD12-XK,"Компактная аккумуляторная дрель-шуруповерт, 10.8 В, 11 установки кр. момента, 0-550 об/мин, Li-Ion акк. 1.5 А·ч, 12.5/26 Нм"
BDCDD12K-XK,"Компактная аккумуляторная дрель-шуруповерт, 10.8 В, 11 установки кр. момента, 0-550 об/мин, 12.5/26 Нм, Li-Ion акк. 1.5 А·ч, кейс, зарядное устройство"
BDCDD12B-XK,"Компактная аккумуляторная дрель-шуруповерт, 10.8 В, 11 установки кр. момента, 0-550 об/мин, 2 Li-Ion акк. 1.5 А·ч, 12.5/26 Нм "
BDCDD12KB-XK,"Компактная аккумуляторная дрель-шуруповерт, 10.8 В, 11 установки кр. момента, 0-550 об/мин, 12.5/26 Нм, 2 Li-Ion акк. 1.5 А·ч, кейс, зарядное устройство"
BDCDD12K1B-QW,"Компактная аккумуляторная дрель-шуруповерт, 10.8 В, 11 установки кр. момента, 0-550 об/мин, 12.5/26 Нм, 2 Li-Ion акк. 1.5 А·ч, кейс, ускоренная зарядка"
BDCHD12S1-XJ,"Аккумуляторная ударная дрель-шуруповерт GoPak 12 В USB, Li-Ion 1.5 А, USB провод, сумка"
BDCK502C1-RU,"GoPak 12 В USB набор: дрель, лобзик, шлифмашинка, фонарь, Li-Ion 1.5 А, USB провод"
BL186KB-QW,"Аккумуляторная дрель-шуруповерт, 18 В, Безщеточная, 22 установки кр. момента,  0-410/0-1650 об/мин, 52 Нм, 2 Li-Ion 1.5 А·ч, кейс, зарядное устройство"
BDCDC18K-QW,"Аккумуляторная дрель-шуруповерт, 18 В, 11 установки кр. момента, 0-650 об/мин, 10.3/30 Нм, 1 Li-Ion акк. 1.5А·ч, кейс, зарядное устройство"
BDCDC18B-QW,"Аккумуляторная дрель-шуруповерт, 18 В, 11 установки кр. момента, 0-650 об/мин, 10.3/30 Нм, 2 Li-Ion акк. 1.5А·ч, зарядное устройство"
BDCDC18KB-QW,"Аккумуляторная дрель-шуруповерт, 18 В, 11 установки кр. момента, 0-650 об/мин, 10.3/30 Нм, 2 Li-Ion акк. 1.5А·ч, кейс, зарядное устройство"
BDCDC18K1B-QW,"Аккумуляторная дрель-шуруповерт, 18 В, 11 установки кр. момента, 0-650 об/мин, 10.3/30 Нм, 2 Li-Ion акк. 1.5А·ч, кейс, ускоренная зарядка"
BDCDD186KB-QW,"Аккумуляторная дрель-шуруповерт, 18 В, 11 установки кр. момента, 0-360/0-1400 об/мин, 17.5/40 Нм, 2 Li-Ion акк. 1.5А·ч, кейс, зарядное устройство"
BDCDD186K1B-QW,"Аккумуляторная дрель-шуруповерт, 18 В, 11 установки кр. момента, 0-360/0-1400 об/мин, 17.5/40 Нм, 2 Li-Ion акк. 1.5А·ч, кейс, быстрое зарядное устройство"
BDCHD18KB-XK,"Аккумуляторная ударная дрель-шуруповерт, 18 В, 11 установки кр. момента, 0-360/0-1400 об/мин, 17.5/40 Нм, 2 Li-Ion акк. 1.5А·ч, кейс, зарядное устройство"
ASD18K-QW,"Аккумулятоная дрель-шуруповерт серии Autosence, 18 В, ""умная"" муфта регулировки крутящего момента, 0-650 об. Мин, 39Нм, 1 Li-Ion батарея, 1 час ЗУ, кейс"
ASD18KB-QW,"Аккумулятоная дрель-шуруповерт серии Autosence, 18 В, ""умная"" муфта регулировки крутящего момента, 0-650 об. Мин, 39Нм, 2 Li-Ion батарея, 1 час ЗУ, кейс"
KC3610-RU,"Аккумуляторный винтоверт пистолетной формы, 3.6 В, Ni-Cd, 3Нм, 180 об/мин"
CS3651LC-XK,"Аккумуляторный винтоверт пистолетной формы, 3.6 В, Li-Ion, 5Нм, 180 об/мин"
CS3652LC-XK,"Аккумуляторный винтоверт пистолетной формы, 3.6 В, Li-Ion, 5.5Нм, 180 об/мин, насадка для закручивания винтов в труднодоступных местах"
MT218K-QW,Многофункциональный аккумуляторный инструмент MultiEvo. 
MT218KB-QW,Многофункциональный аккумуляторный инструмент MultiEvo. 
BDC1A15-QW,"Зарядное устройство 18 В, АКБ 18 В, 1.5 А·ч"
CSOA2-XJ,Насадка для аккумуляторного винтоверта облегчает закручивание винтов в труднодоступных местах
HD555-RU,"Электронная ударная дрель, 550 Вт, 13 мм, КП"
KR5010-RU,"Электронная ударная дрель, 550 Вт, 10 мм, КП, без реверса"
KR504RE-XK,"Электронная ударная дрель, 500 Вт, 13 мм, КП"
KR504CRE-XK,"Электронная ударная дрель, 500 Вт, 13 мм, быстрозажимной патрон"
KR604CRES-QS,"Электронная ударная дрель, 600 Вт, 13 мм БЗП, реверс"
CD714CRES-XK,"Электронная ударная дрель, 710 Вт, 13 мм, быстрозажимной патрон"
KR705K-XK,"Электронная ударная дрель, 750 Вт, 13 мм БЗП, реверс"
KR806K-QS,"Электронная ударная дрель, 850 Вт, 13 мм БЗП с блок. вала, реверс, мягк. рукоятка, в кейсе"
KR1102K-QS,"Электронная 2-х скор. ударная дрель, 1100 Вт, 13 мм БЗП с блок. вала, реверс, мягк. рукоятка, в кейсе"
BDR26K-RU,"Перфоратор SDS+, 800Вт, 3 режима, 2.7 Дж."
MT300KA-QS,"Многофункциональный инструмент с зажимной системой Superlok для бесключевой смены насадок, 300 Вт"
MT350K-QS,"Сетевой многофункциональный инструмент MultiEvo, 350Вт, насадка дрель-шуруповерт в комплекте, кейс"
MTSA2-XJ,Сменная насадка для инcтрументов MultiEvo: Шлифовальная машина
MTIM3-XJ,Сменная насадка для инcтрументов MultiEvo: Импульсный шуруповерт
MTOS4-XJ,Сменная насадка для инcтрументов MultiEvo: Осциллирующий инструмент
MTHD5-XJ,Сменная насадка для инcтрументов MultiEvo: Ударная дрель-шуруповерт
MTTS7-XJ,Сменная насадка для инcтрументов MultiEvo: Дисковая пила
MTRT8-XJ,Сменная насадка для инcтрументов MultiEvo: Фрезер
MTNF9-XJ,Сменная насадка для инcтрументов MultiEvo: Компрессор
MTJS1-XJ,Сменная насадка для инcтрументов MultiEvo: Лобзик
JS10-RU,"Лобзик, 400Вт, глубина пропила 65 мм"
JS20-RU,"Лобзик, 400Вт, глубина пропила 65 мм, рег. скорости"
KS501-XK,"Лобзик, 400Вт, глубина пропила 55 мм"
KS701E-QS,"Лобзик, 520Вт, глубина пропила 70 мм, рег.скорости"
KS701EK-XK,"Лобзик, 520Вт, глубина пропила 70 мм, рег.скорости, кейс"
KS701PEK-XK,"Лобзик, 520Вт, глубина пропила 70 мм, маятниковое движение, рег.скорости, кейс"
KS801SEK-QS,"Инновационный лобзик SMART SELECT, 550 Вт, регулировка скорости, быстрый зажим пилки, наклон подошвы без ключа, глубина пропила  80мм, кейс"
KS901PEK-XK,"Мощный лобзик 620Вт, регулировка скорости, маятниковое движение, быстрый зажим пилки, наклон подошвы без ключа, глубина пропила 90 мм, 3 пилки на борту,кейс."
KS901SEK-XK,"Мощный инновационный лобзик SMART SELECT, 620 Вт, регулировка скорости, маятниковое движение, быстрый зажим пилки, наклон подошвы без ключа, глубина пропила 90 мм, 3 пилки на борту,кейс."
KA86-QS,"Ленточная шлифмашина, 600 Вт, шлиф. лента 75х533 мм, шлиф. поверхность 75х195 мм 210 м/мин, автом. регулировка ленты"
KA88-QS,"Ленточная шлифмашина, 720 Вт, шлиф. лента 75х533 мм, шлиф. поверхность 75х195 мм 210 м/мин, автом. регулировка ленты"
KA330E-QS,"Плоская шлифмашина DuoSand, 270 Вт, 115х230мм"
KA310-QS,"Плоскошлифовальная машина, 240 Вт, 92х230мм"
KA300-XK,"Плоскошлифовальная машина, 135 Вт, 90х187мм"
KA198-QS,"Эксцентриковая шлифмашина, 260 Вт, 125 мм"
KA280K-QS,"Многоцелевая универсальная шлифмашина Autoselect Cyclonic 4 в 1, 220 Вт, диаметр диска 125 мм или шлиф. платформа 136 кв. см, насадка для шлифовки труднодуступных мест, профильные насадки, набор шлифбумаги, кейс"
G650-RU,"Угловая шлифовальная машина, 115мм, 650 Вт"
KG8215-RU,"Угловая шлифовальная машина, 115мм, 820 Вт"
G720-RU,"Угловая шлифовальная машина, 125 мм, 820 Вт, шлифовальный диск"
G850-RU,"Угловая шлифовальная машина, 125 мм, 850 Вт, шлифовальный диск"
KG1202-XK,"Угловая шлифовальная машина, 125 мм, 1200 Вт"
KG1202K-QS,"Угловая шлифовальная машина, 125 мм, 1200 Вт, кейс"
CS1550-QS,"Дисковая пила, глубина пропила 65 мм, 1500 Вт, пильный диск с твердосплавными напайками"
CS1004-RU,"Дисковая пила, глубина пропила 65 мм, 1400 Вт, пильный диск с твердосплавными напайками"
KW712-XK,"Рубанок, глубина 0-2 мм, 650 Вт, ширина 82 мм"
KW712KA-QS,"Рубанок, глубина 0-2 мм, 650 Вт, шир. 82 мм, параллельный упор, кейс"
KW1200E-QS,"Фрезер, 1200 Вт, регулировка скорости, цанги (3 шт.), шаблон, направляющая, копировальное приспособление, приспособление для отделки вертикальных проекций."
KW1200EKA-QS,"Фрезер, 1200 Вт, регулировка скорости, цанги (3 шт.), шаблон, направляющая, копировальное приспособление, приспособление для отделки вертикальных проекций, кейс"
KX1650-XK,"Пистолет горячего воздуха,  1750 Вт, t=460 – 600 °C, подача воздуха 570/740 л/мин"
KX2001-QS,"Пистолет горячего воздуха,  2000 Вт, t=50 – 600 °C, подача воздуха 300 – 650 л/мин, скербок"
KX1692-QS,"Пистолет горячего воздуха,  1600 Вт, t=130 – 560 °C, подача воздуха 200 – 450 л/мин, поворотная рукоятка, скребок"
KX2200K-QS,"Пистолет горячего воздуха,  2000 Вт, t=65 – 645 °C, подача воздуха 360 – 720 л/мин, аксессуары (8 шт.), кейс"
RS890K-QS,"Пила ""Скорпион"", 500 Вт, Smartselect, длина хода 10 мм, скорость 0-6500 об/мин, кейс, 3 полотна в комплекте "
WM301-XJ,"Верстак, рабочая высота 76 см,  рабочая поверхность 610 х 341 мм"
WM536-XJ,"Верстак, рабочая высота 59/77 см,  рабочая поверхность 610 х 384 мм"
WM550-XJ,"Верстак, рабочая высота 59/77 см,  рабочая поверхность 610х472 мм, вертикальный зажим"
WM825-XJ,"Верстак, рабочая высота 77.5/59.5 см, вертикальный зажим"
ASI200-XJ,"Автомобильный компрессор 12 В, 120 Psi, 8.3 Bar, фонарь, цифровой дисплей, аксессуары"
ASI300-QS,"Автомобильный компрессор 14 Атм, 200psi, питание от 12 В и 220 В"
ASI500-QW,"Автомобильный компрессор, 3.5 А·ч, 12 В - 220 В, 120 Psi, 8.3 Bar, фонарь, цифровой дисплей, аксессуары"
NV1210AV-XK,"Автомобильный пылесос 12 В, 1122 л/мин, 385 мм/в.столба, емкость пылесборника 370 мл, набор аксессуаров"
ADV1200-XK,"Автомобильный пылесос Dustbuster, 1053 л/мин, 275 мм/в.столба, емкость пылесборника 610 мл, набор аксессуаров"
PV1200AV-XK,"Автомобильный пылесос Pivot, 1060 л/мин, 360 мм/в.столба, емкость пылесборника 440 мл, набор аксессуаров"
PD1200AV-XK,"Автомобильный пылесос Flexi, 1060 л/мин, 400 мм/в.столба, емкость пылесборника 560 мл, набор аксессуаров"
FSM1605R-QS,"Пароочиститель, 1300 Вт, емкость 350 мм, время разогрева 20 с, защита от накипи, выбор поврехности пола, 180 градусов наклон и поворот"
FSM1605-QS,"Пароочиститель, 1300 Вт, емкость 350 мм, время разогрева 20 с, защита от накипи, выбор поврехности пола, 180 градусов наклон и поворот"
FSM1616-QS,"Паровая щетка с системой  AutoSelect, 1600 Вт, угловая насадка"
FSM1620-QS,"Паровая щетка с системой  AutoSelect, 1600 Вт"
FSM1630-QS,"Паровая щетка с системой  AutoSelect, 1600 Вт, цифровым управлением и системой SteamBoost"
FSMH1300FX-QS,"Паровая щетка Deluxe с цифровым управлением 2-в-1, системой SteamBoost и съемным ручным парогенератором 1300 Вт"
FSMH1321-QS,"Паровая щетка Deluxe с цифровым управлением 2-в-1, системой SteamBoost и съемным ручным парогенератором 1300 Вт"
FSMH13101SM-QS,"Паровая щетка Deluxe с цифровым управлением 2-в-1, системой SteamBoost и съемным ручным парогенератором"
FSH10SM-QS,"Пароочиститель ручной SteamMop&SteaMitt 1 300 Вт, система SteamBoost"
FSH10SM1-QS,"Пароочиститель ручной SteamMop&SteaMitt 1 300 Вт, система SteamBoost, доп.насадки 3 шт"
FSH10SMP-QS,"Пароочиститель ручной SteamMop&SteaMitt 1 300 Вт, система SteamBoost, доп.насадки 5 шт"
FSMP30-XJ,"Принадлежности для паровых щеток, 2 дельтавидные накладки"
FSMP30D-XJ,"Принадлежности для паровых щеток Delux, 2 дельтавидные, 2 стандартные накладки"
FSMHBA-XJ,"Набор для чистки ванной, 3 мягкие щетки, щетка для стекол, щетка для плитки"
FSMHKA-XJ,"Набор для чистки кухни, 3 мягкие щетки, большая жеская щетка, большая мягкая щетка"
FSMH21A-XJ,"Большой набор для чистки:  3 мягких щетки, щетка для сеткол,щетка для плитки, проволочная щетка"
FSMFH3LF-XJ,"Сменная чистящая насадка с возможностью установки картриджей ароматизатора, 3 сменных картриджа с ароматом лимона"
WD7210N-QW,"Аккумуляторный пылесос для влажной и сухой уборки, 7.2 В NI-MH"
WD9610N-QW,"Аккумуляторный пылесос для влажной и сухой уборки, 9.6 В NI-MH"
DV7210N-QW,"Аккумуляторный пылесос с выдвижным носиком и встроенной щеткой, 7.2 В NI-MH"
DV9610N-QW,"Аккумуляторный пылесос с выдвижным носиком и встроенной щеткой, 9.6 В NI-MH"
DV9610NF-QW,"Аккумуляторный пылесос с набором для уборки пола, 9.6 В NI-MH"
DV1210N-QW,"Аккумуляторный пылесос, 12.0 В NI-MH"
DV1015EL-QW,"Аккумуляторный пылесос с выдвижным носиком, 10.8 В Li-ION"
DV1415EL-QW,"Аккумуляторный пылесос с выдвижным носиком, 14.4 В Li-ION"
DV1815EL-QW,"Аккумуляторный пылесос с выдвижным носиком, 18.0 В Li-ION"
PV1020L-QW,"Аккумуляторный пылесос с поворотным носиком, 10.8 В Li-ION "
PV1420L-QW,"Аккумуляторный пылесос с поворотным носиком, 14.0 В Li-ION"
PV1820L-QW,"Аккумуляторный пылесос с поворотным носиком, 18.0 В Li-ION"
PD1020L-QW,"Аккумуляторный пылесос с гибким шлангом, 10.8 В Li-ION"
PD1420LP-QW,"Аккумуляторный пылесос с гибким шлангом, 14.4 В Li-ION"
PD1820L-QW,"Аккумуляторный пылесос с гибким шлангом, 18.0 В Li-ION"
PD1820LF-QW,"Аккумуляторный пылесос с гибким шлангом и набором для уборки пола, 18.0 В Li-ION"
SVFV3250L-QW,"2-в-1 Аккумуляторный пылесос ORA Tech ""Stick and Vac"", 32.5 В"
SVFV3250LR-QW,"2-в-1 Аккумуляторный пылесос ORA Tech ""Stick and Vac"", 32.5 В"
HVFE2150L-QW,"Аккумуляторный пылесос ORA Tech с набором для уборки пола, 21.4 В"
HVFE2150LB-QW,"Аккумуляторный пылесос ORA Tech с набором для уборки пола, 21.4 В"
HVFE2150LR-QW,"Аккумуляторный пылесос ORA Tech с набором для уборки пола, 21.4 В"
DVJ315J-QW,"Аккумуляторный пылесос ЦИКЛОН с выдвижным носиком и встроенной щеткой, 10.8 В Li-Ion"
DVJ325J-QW,"Аккумуляторный пылесос ЦИКЛОН с выдвижным носиком и встроенной щеткой, 10.8 В Li-Ion, фильтр с ароматизацией"
BDPR400-XJ,"Краскопульт для работ большого объема, 150 Вт, воздушное распыление"
HVLP200-QS,"Напольный краскопульт, 400 Вт, HVLP"
HVLP400-QS,"Напольный краскопульт, 450 Вт, HVLP"